Generic Name,Brand_Name,Drug_class,Indication , Dosage,renal_adjustment,renal_adjustment_dose,Administration,Preparation_for_administration ,Storage_Stability
Amiodarone ,,Antiarrhythmic Agent,Perfusing tachycardias,":  Loading dose: 5 mg/kg (maximum dose: 300 mg/dose) over 20 to 60 minutes; may repeat twice up to maximum total dose of 15 mg/kg during acute treatment   




",no,"For infusions >1 hour, use concentrations ≤2 mg/mL unless a central venous catheter is used; commercially prepared premixed solutions in concentrations of 1.5 mg/mL and 1.8 mg/mL are available. Use only volumetric infusion pump; use of drop counting may lead to underdosage. Administer through an IV line located as centrally as possible. For peripheral infusions, an in-line filter has been recommended during administration to reduce the incidence of phlebitis (consult individual institutional policies and procedures). During pulseless VT/VF, administering undiluted is preferred","Information based on adult data: Injection must be diluted before IV use. Administer via central venous catheter, if possible; increased phlebitis may occur with peripheral infusions >3 mg/mL in D5W; the use of a central venous catheter with concentrations >2 mg/mL for infusions >1 hour is recommended. Must be infused via volumetric infusion device; drop size of IV solution may be reduced and underdosage may occur if drop counter-infusion sets are used. PVC tubing is recommended for administration regardless of infusion duration. Incompatible with heparin; flush with normal saline prior to and following infusion.", Continuous IV infusion: Information based on adult data: Injection must be diluted in D5W to maximum concentration for IV infusion of 6 mg/mL prior to administration. Commercially prepared premixed solutions in concentrations of 1.5 mg/mL and 1.8 mg/mL are available. ASHP recommends standard concentrations of 1.8 mg/mL and 3.6 mg/mL in pediatric patients,Injection: Store undiluted vials and premixed solutions (Nexterone) at 20°C to 25°C (68°F to 77°F); excursions are permitted between 15°C and 30°C
Amiodarone ,,Antiarrhythmic Agent,"Tachyarrhythmia, treatment (acute, life-threatening) ","Loading dose: IV: 5 mg/kg (maximum dose: 300 mg/dose) given over 60 minutes   Continuous IV infusion (if needed): Dosing based on mcg/kg/minute: Initial: 5 mcg/kg/minute; increase incrementally as clinically needed; range: 5 to 15 mcg/kg/minute; maximum daily dose: 2,200 mg/day .  Dosing based on mg/kg/day: Initial: 10 mg/kg/day; increase incrementally as clinically needed; range: 10 to 20 mg/kg/day; maximum daily dose: 2,200 mg/day .",no,"For infusions >1 hour, use concentrations ≤2 mg/mL unless a central venous catheter is used; commercially prepared premixed solutions in concentrations of 1.5 mg/mL and 1.8 mg/mL are available. Use only volumetric infusion pump; use of drop counting may lead to underdosage. Administer through an IV line located as centrally as possible. For peripheral infusions, an in-line filter has been recommended during administration to reduce the incidence of phlebitis (consult individual institutional policies and procedures). During pulseless VT/VF, administering undiluted is preferred","Perfusing arrhythmias: Information based on adult data: Injection must be diluted before IV use. Administer via central venous catheter, if possible; increased phlebitis may occur with peripheral infusions >3 mg/mL in D5W; the use of a central venous catheter with concentrations >2 mg/mL for infusions >1 hour is recommended. Must be infused via volumetric infusion device; drop size of IV solution may be reduced and underdosage may occur if drop counter-infusion sets are used. PVC tubing is recommended for administration regardless of infusion duration. Incompatible with heparin; flush with normal saline prior to and following infusion.",IV: Perfusing arrhythmias: Continuous IV infusion: Information based on adult data: Injection must be diluted in D5W to maximum concentration for IV infusion of 6 mg/mL prior to administration. Commercially prepared premixed solutions in concentrations of 1.5 mg/mL and 1.8 mg/mL are available. ASHP recommends standard concentrations of 1.8 mg/mL and 3.6 mg/mL in pediatric patients,Injection: Store undiluted vials and premixed solutions (Nexterone) at 20°C to 25°C (68°F to 77°F); excursions are permitted between 15°C and 30°C
Clindamycin ,,Antibiotic,"Intra-abdominal infection, complicated","20 to 40 mg/kg/day divided every 6 to 8 hours  maximum daily dose: 2,700 mg/day     

",no,Mild to severe impairment: No dosage adjustment necessary.,"IV: Infuse over at least 10 to 60 minutes, at a rate not to exceed 30 mg/minute; hypotension and cardiopulmonary arrest have been reported following rapid IV administration.","Dilute vials that require dilution (150 mg/mL) with a compatible diluent (eg, D5W, NS) to a final concentration ≤18 mg/mL.",
Clindamycin ,,Antibiotic,"Cellulitis, erysipelas, purulent/fluctuant SSTI"," IV: 25 to 40 mg/kg/day in divided doses every 8 hours; maximum dose: 600 mg/dose .
 
",no,Mild to severe impairment: No dosage adjustment necessary.,"IV: Infuse over at least 10 to 60 minutes, at a rate not to exceed 30 mg/minute; hypotension and cardiopulmonary arrest have been reported following rapid IV administration.","Dilute vials that require dilution (150 mg/mL) with a compatible diluent (eg, D5W, NS) to a final concentration ≤18 mg/mL.",
Clindamycin ,,Antibiotic,Necrotizing soft tissue infections," 10 to 13 mg/kg/dose every 8 hours as part of an appropriate combination regimen in addition to surgical intervention; maximum dose: 900 mg/dose. Continue until further debridement is not necessary, patient has clinically improved, and patient is afebrile for 48 to 72 hours 
",no,Mild to severe impairment: No dosage adjustment necessary.,"IV: Infuse over at least 10 to 60 minutes, at a rate not to exceed 30 mg/minute; hypotension and cardiopulmonary arrest have been reported following rapid IV administration.","Dilute vials that require dilution (150 mg/mL) with a compatible diluent (eg, D5W, NS) to a final concentration ≤18 mg/mL.",
Vancomycin,,Antibiotic,Endocarditis,"IV: Initial: 60 mg/kg/day divided every 6 hours; initial maximum daily dose: 2,000 mg/day   

Children ≥12 years and Adolescents: IV: Initial: 60 to 70 mg/kg/day in divided doses every 6 to 8 hours; initial maximum daily dose: 3,600 mg/day.",yes,GFR 30 to 50 mL/minute/1.73 m2: 10 mg/kg/dose every 12 hours.   ,"Intermittent infusion: Administer intermittent IV infusion over 60 minutes. Vancomycin infusion reaction (formerly ""red man syndrome"") may occur if the infusion is too rapid. It is not an allergic reaction, but may be characterized by hypotension and/or a maculopapular rash appearing on the face, neck, trunk, and/or upper extremities; if this should occur, slow the infusion rate to administer dose over 90 to 120 minutes (Ref) and increase the dilution volume; the reaction usually dissipates in 30 to 60 minutes; administration of antihistamines just before the infusion may also prevent or minimize this reaction.     Continuous infusion: After loading dose, administer over 24 hours      Vancomycin is an irritant; ensure proper needle or catheter placement prior to and during infusion. Avoid extravasation. If extravasation occurs, stop infusion immediately; leave cannula/needle in place temporarily but do NOT flush the line; gently aspirate extravasated solution, then remove needle/cannula; elevate extremity. Information varies regarding the use of dry cold or dry warm compresses; however, dry warm compresses may be of benefit in increasing local blood flow to enhance drug removal from the extravasation site (Ref). Hyaluronidase may be considered for refractory cases","Reconstitution: Single-dose vials (500 to 2,000 mg): Reconstitute with SWFI to a final concentration of 50 mg/mL. Further dilution is needed prior to administration with a compatible diluent (eg, D5W, NS) to a final concentration ≤5 mg/mL.",
Vancomycin,,Antibiotic,Endocarditis,"IV: Initial: 60 mg/kg/day divided every 6 hours; initial maximum daily dose: 2,000 mg/day   

Children ≥12 years and Adolescents: IV: Initial: 60 to 70 mg/kg/day in divided doses every 6 to 8 hours; initial maximum daily dose: 3,600 mg/day.",yes,GFR 10 to 29 mL/minute/1.73 m2: 10 mg/kg/dose every 18 to 24 hours.   ,"Intermittent infusion: Administer intermittent IV infusion over 60 minutes. Vancomycin infusion reaction (formerly ""red man syndrome"") may occur if the infusion is too rapid. It is not an allergic reaction, but may be characterized by hypotension and/or a maculopapular rash appearing on the face, neck, trunk, and/or upper extremities; if this should occur, slow the infusion rate to administer dose over 90 to 120 minutes (Ref) and increase the dilution volume; the reaction usually dissipates in 30 to 60 minutes; administration of antihistamines just before the infusion may also prevent or minimize this reaction.     Continuous infusion: After loading dose, administer over 24 hours      Vancomycin is an irritant; ensure proper needle or catheter placement prior to and during infusion. Avoid extravasation. If extravasation occurs, stop infusion immediately; leave cannula/needle in place temporarily but do NOT flush the line; gently aspirate extravasated solution, then remove needle/cannula; elevate extremity. Information varies regarding the use of dry cold or dry warm compresses; however, dry warm compresses may be of benefit in increasing local blood flow to enhance drug removal from the extravasation site (Ref). Hyaluronidase may be considered for refractory cases","Reconstitution: Single-dose vials (500 to 2,000 mg): Reconstitute with SWFI to a final concentration of 50 mg/mL. Further dilution is needed prior to administration with a compatible diluent (eg, D5W, NS) to a final concentration ≤5 mg/mL.",
Vancomycin,,Antibiotic,Endocarditis,"IV: Initial: 60 mg/kg/day divided every 6 hours; initial maximum daily dose: 2,000 mg/day   

Children ≥12 years and Adolescents: IV: Initial: 60 to 70 mg/kg/day in divided doses every 6 to 8 hours; initial maximum daily dose: 3,600 mg/day.",yes,  GFR <10 mL/minute/1.73 m2: 10 mg/kg/dose; redose based on serum concentrations,"Intermittent infusion: Administer intermittent IV infusion over 60 minutes. Vancomycin infusion reaction (formerly ""red man syndrome"") may occur if the infusion is too rapid. It is not an allergic reaction, but may be characterized by hypotension and/or a maculopapular rash appearing on the face, neck, trunk, and/or upper extremities; if this should occur, slow the infusion rate to administer dose over 90 to 120 minutes (Ref) and increase the dilution volume; the reaction usually dissipates in 30 to 60 minutes; administration of antihistamines just before the infusion may also prevent or minimize this reaction.     Continuous infusion: After loading dose, administer over 24 hours      Vancomycin is an irritant; ensure proper needle or catheter placement prior to and during infusion. Avoid extravasation. If extravasation occurs, stop infusion immediately; leave cannula/needle in place temporarily but do NOT flush the line; gently aspirate extravasated solution, then remove needle/cannula; elevate extremity. Information varies regarding the use of dry cold or dry warm compresses; however, dry warm compresses may be of benefit in increasing local blood flow to enhance drug removal from the extravasation site (Ref). Hyaluronidase may be considered for refractory cases","Reconstitution: Single-dose vials (500 to 2,000 mg): Reconstitute with SWFI to a final concentration of 50 mg/mL. Further dilution is needed prior to administration with a compatible diluent (eg, D5W, NS) to a final concentration ≤5 mg/mL.",
Vancomycin,,Antibiotic," Osteoarticular infection (eg, bacterial arthritis, osteomyelitis), acute"," Initial: 40 to 60 mg/kg/day in divided doses every 6 to 8 hours . Higher initial doses have been recommended for patients with serious MRSA infection with normal kidney function   

Children ≥12 years and Adolescents: IV: Initial: 60 to 70 mg/kg/day in divided doses every 6 to 8 hours; initial maximum daily dose: 3,600 mg/day.",yes,GFR 30 to 50 mL/minute/1.73 m2: 10 mg/kg/dose every 12 hours.   ,"Intermittent infusion: Administer intermittent IV infusion over 60 minutes. Vancomycin infusion reaction (formerly ""red man syndrome"") may occur if the infusion is too rapid. It is not an allergic reaction, but may be characterized by hypotension and/or a maculopapular rash appearing on the face, neck, trunk, and/or upper extremities; if this should occur, slow the infusion rate to administer dose over 90 to 120 minutes (Ref) and increase the dilution volume; the reaction usually dissipates in 30 to 60 minutes; administration of antihistamines just before the infusion may also prevent or minimize this reaction.     Continuous infusion: After loading dose, administer over 24 hours      Vancomycin is an irritant; ensure proper needle or catheter placement prior to and during infusion. Avoid extravasation. If extravasation occurs, stop infusion immediately; leave cannula/needle in place temporarily but do NOT flush the line; gently aspirate extravasated solution, then remove needle/cannula; elevate extremity. Information varies regarding the use of dry cold or dry warm compresses; however, dry warm compresses may be of benefit in increasing local blood flow to enhance drug removal from the extravasation site (Ref). Hyaluronidase may be considered for refractory cases","Reconstitution: Single-dose vials (500 to 2,000 mg): Reconstitute with SWFI to a final concentration of 50 mg/mL. Further dilution is needed prior to administration with a compatible diluent (eg, D5W, NS) to a final concentration ≤5 mg/mL.",
Vancomycin,,Antibiotic," Osteoarticular infection (eg, bacterial arthritis, osteomyelitis), acute"," Initial: 40 to 60 mg/kg/day in divided doses every 6 to 8 hours . Higher initial doses have been recommended for patients with serious MRSA infection with normal kidney function   

Children ≥12 years and Adolescents: IV: Initial: 60 to 70 mg/kg/day in divided doses every 6 to 8 hours; initial maximum daily dose: 3,600 mg/day.",yes, GFR 10 to 29 mL/minute/1.73 m2: 10 mg/kg/dose every 18 to 24 hours.,"Intermittent infusion: Administer intermittent IV infusion over 60 minutes. Vancomycin infusion reaction (formerly ""red man syndrome"") may occur if the infusion is too rapid. It is not an allergic reaction, but may be characterized by hypotension and/or a maculopapular rash appearing on the face, neck, trunk, and/or upper extremities; if this should occur, slow the infusion rate to administer dose over 90 to 120 minutes (Ref) and increase the dilution volume; the reaction usually dissipates in 30 to 60 minutes; administration of antihistamines just before the infusion may also prevent or minimize this reaction.     Continuous infusion: After loading dose, administer over 24 hours      Vancomycin is an irritant; ensure proper needle or catheter placement prior to and during infusion. Avoid extravasation. If extravasation occurs, stop infusion immediately; leave cannula/needle in place temporarily but do NOT flush the line; gently aspirate extravasated solution, then remove needle/cannula; elevate extremity. Information varies regarding the use of dry cold or dry warm compresses; however, dry warm compresses may be of benefit in increasing local blood flow to enhance drug removal from the extravasation site (Ref). Hyaluronidase may be considered for refractory cases","Reconstitution: Single-dose vials (500 to 2,000 mg): Reconstitute with SWFI to a final concentration of 50 mg/mL. Further dilution is needed prior to administration with a compatible diluent (eg, D5W, NS) to a final concentration ≤5 mg/mL.",
Vancomycin,,Antibiotic," Osteoarticular infection (eg, bacterial arthritis, osteomyelitis), acute"," Initial: 40 to 60 mg/kg/day in divided doses every 6 to 8 hours . Higher initial doses have been recommended for patients with serious MRSA infection with normal kidney function   

Children ≥12 years and Adolescents: IV: Initial: 60 to 70 mg/kg/day in divided doses every 6 to 8 hours; initial maximum daily dose: 3,600 mg/day.",yes, GFR <10 mL/minute/1.73 m2: 10 mg/kg/dose; redose based on serum concentrations,"Intermittent infusion: Administer intermittent IV infusion over 60 minutes. Vancomycin infusion reaction (formerly ""red man syndrome"") may occur if the infusion is too rapid. It is not an allergic reaction, but may be characterized by hypotension and/or a maculopapular rash appearing on the face, neck, trunk, and/or upper extremities; if this should occur, slow the infusion rate to administer dose over 90 to 120 minutes (Ref) and increase the dilution volume; the reaction usually dissipates in 30 to 60 minutes; administration of antihistamines just before the infusion may also prevent or minimize this reaction.     Continuous infusion: After loading dose, administer over 24 hours      Vancomycin is an irritant; ensure proper needle or catheter placement prior to and during infusion. Avoid extravasation. If extravasation occurs, stop infusion immediately; leave cannula/needle in place temporarily but do NOT flush the line; gently aspirate extravasated solution, then remove needle/cannula; elevate extremity. Information varies regarding the use of dry cold or dry warm compresses; however, dry warm compresses may be of benefit in increasing local blood flow to enhance drug removal from the extravasation site (Ref). Hyaluronidase may be considered for refractory cases","Reconstitution: Single-dose vials (500 to 2,000 mg): Reconstitute with SWFI to a final concentration of 50 mg/mL. Further dilution is needed prior to administration with a compatible diluent (eg, D5W, NS) to a final concentration ≤5 mg/mL.",
Vancomycin,,Antibiotic,"   Methicillin-resistant Staphylococcus aureus infection, serious"," Infants ≥3 months and Children <12 years: IV: Initial: 60 to 80 mg/kg/day in divided doses every 6 hours; initial maximum daily dose: 3,600 mg/day.

Children ≥12 years and Adolescents: IV: Initial: 60 to 70 mg/kg/day in divided doses every 6 to 8 hours; initial maximum daily dose: 3,600 mg/day.",yes,GFR 30 to 50 mL/minute/1.73 m2: 10 mg/kg/dose every 12 hours.,"Intermittent infusion: Administer intermittent IV infusion over 60 minutes. Vancomycin infusion reaction (formerly ""red man syndrome"") may occur if the infusion is too rapid. It is not an allergic reaction, but may be characterized by hypotension and/or a maculopapular rash appearing on the face, neck, trunk, and/or upper extremities; if this should occur, slow the infusion rate to administer dose over 90 to 120 minutes (Ref) and increase the dilution volume; the reaction usually dissipates in 30 to 60 minutes; administration of antihistamines just before the infusion may also prevent or minimize this reaction.     Continuous infusion: After loading dose, administer over 24 hours      Vancomycin is an irritant; ensure proper needle or catheter placement prior to and during infusion. Avoid extravasation. If extravasation occurs, stop infusion immediately; leave cannula/needle in place temporarily but do NOT flush the line; gently aspirate extravasated solution, then remove needle/cannula; elevate extremity. Information varies regarding the use of dry cold or dry warm compresses; however, dry warm compresses may be of benefit in increasing local blood flow to enhance drug removal from the extravasation site (Ref). Hyaluronidase may be considered for refractory cases","Reconstitution: Single-dose vials (500 to 2,000 mg): Reconstitute with SWFI to a final concentration of 50 mg/mL. Further dilution is needed prior to administration with a compatible diluent (eg, D5W, NS) to a final concentration ≤5 mg/mL.",
Vancomycin,,Antibiotic,"   Methicillin-resistant Staphylococcus aureus infection, serious"," Infants ≥3 months and Children <12 years: IV: Initial: 60 to 80 mg/kg/day in divided doses every 6 hours; initial maximum daily dose: 3,600 mg/day.

Children ≥12 years and Adolescents: IV: Initial: 60 to 70 mg/kg/day in divided doses every 6 to 8 hours; initial maximum daily dose: 3,600 mg/day.",yes,GFR 10 to 29 mL/minute/1.73 m2: 10 mg/kg/dose every 18 to 24 hours.  ,"Intermittent infusion: Administer intermittent IV infusion over 60 minutes. Vancomycin infusion reaction (formerly ""red man syndrome"") may occur if the infusion is too rapid. It is not an allergic reaction, but may be characterized by hypotension and/or a maculopapular rash appearing on the face, neck, trunk, and/or upper extremities; if this should occur, slow the infusion rate to administer dose over 90 to 120 minutes (Ref) and increase the dilution volume; the reaction usually dissipates in 30 to 60 minutes; administration of antihistamines just before the infusion may also prevent or minimize this reaction.     Continuous infusion: After loading dose, administer over 24 hours      Vancomycin is an irritant; ensure proper needle or catheter placement prior to and during infusion. Avoid extravasation. If extravasation occurs, stop infusion immediately; leave cannula/needle in place temporarily but do NOT flush the line; gently aspirate extravasated solution, then remove needle/cannula; elevate extremity. Information varies regarding the use of dry cold or dry warm compresses; however, dry warm compresses may be of benefit in increasing local blood flow to enhance drug removal from the extravasation site (Ref). Hyaluronidase may be considered for refractory cases","Reconstitution: Single-dose vials (500 to 2,000 mg): Reconstitute with SWFI to a final concentration of 50 mg/mL. Further dilution is needed prior to administration with a compatible diluent (eg, D5W, NS) to a final concentration ≤5 mg/mL.",
Vancomycin,,Antibiotic,"   Methicillin-resistant Staphylococcus aureus infection, serious"," Infants ≥3 months and Children <12 years: IV: Initial: 60 to 80 mg/kg/day in divided doses every 6 hours; initial maximum daily dose: 3,600 mg/day.

Children ≥12 years and Adolescents: IV: Initial: 60 to 70 mg/kg/day in divided doses every 6 to 8 hours; initial maximum daily dose: 3,600 mg/day.",yes,  GFR <10 mL/minute/1.73 m2: 10 mg/kg/dose; redose based on serum concentrations,"Intermittent infusion: Administer intermittent IV infusion over 60 minutes. Vancomycin infusion reaction (formerly ""red man syndrome"") may occur if the infusion is too rapid. It is not an allergic reaction, but may be characterized by hypotension and/or a maculopapular rash appearing on the face, neck, trunk, and/or upper extremities; if this should occur, slow the infusion rate to administer dose over 90 to 120 minutes (Ref) and increase the dilution volume; the reaction usually dissipates in 30 to 60 minutes; administration of antihistamines just before the infusion may also prevent or minimize this reaction.     Continuous infusion: After loading dose, administer over 24 hours      Vancomycin is an irritant; ensure proper needle or catheter placement prior to and during infusion. Avoid extravasation. If extravasation occurs, stop infusion immediately; leave cannula/needle in place temporarily but do NOT flush the line; gently aspirate extravasated solution, then remove needle/cannula; elevate extremity. Information varies regarding the use of dry cold or dry warm compresses; however, dry warm compresses may be of benefit in increasing local blood flow to enhance drug removal from the extravasation site (Ref). Hyaluronidase may be considered for refractory cases","Reconstitution: Single-dose vials (500 to 2,000 mg): Reconstitute with SWFI to a final concentration of 50 mg/mL. Further dilution is needed prior to administration with a compatible diluent (eg, D5W, NS) to a final concentration ≤5 mg/mL.",
Ganciclovir ,,Antiviral Agent,"Congenital cytomegalovirus (CMV) infection, symptomatic","  Infants: IV: 6 mg/kg/dose every 12 hours; transition to oral valganciclovir (when able) to complete total treatment duration of 6 months    Cytomegalovirus infection, CNS; treatment:  Induction therapy (initial treatment): IV: 5 mg/kg/dose every 12 hours until symptoms improve; follow with chronic maintenance therapy  Chronic maintenance therapy (secondary prophylaxis): 5 mg/kg/dose once daily until patient has been receiving antiretroviral therapy for ≥6 months and achieves CD4 cell count targets for at least 6 months",no,no pediatric-specific recommendations,Administer by slow IV infusion over at least 1 hour; infusing too rapidly can cause increased toxicity due to excessive plasma levels. Flush line well with NS before and after administration.,"Powder for reconstitution: Reconstitute 500 mg vial with 10 mL SWFI (do not use bacteriostatic water; parabens may cause precipitation). Gently swirl the vial to dissolve. Further dilute in compatible diluent (eg, D5W, NS) to a final concentration of ≤10 mg/mL.",
Sotalol,,Antiarrhythmic Agent,"Arrhythmias, treatment ","(eg, ventricular arrhythmias, atrial fibrillation, atrial flutter, supraventricular tachycardia, junctional ectopic tachycardia):  Loading dose (acute treatment):
1 mg/kg/dose over 30 to 60 minutes   Maintenance dose :   mg/kg/day divided every 8 to 12 hours",yes,"Initiate at a lower dose and increase dose less frequently; allow adequate time between dosage increases to achieve new steady-state plasma concentration, since half-life will be prolonged. Closely monitor clinical response, heart rate, and QTc interval",Loading dose (acute treatment): Must be diluted prior to administration; administer over 15 to 60 minutes   Maintenance dose (unable to take oral medications): Must be diluted prior to administration; administer over 2 to 5 hours ,"Parenteral: Dilute in NS, D5W, or LR",
